"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"2";"'tmpm_i'";"cluster_coeff.c # 19";"cluster_coeff.c # 63";"5";"5";"0";"cluster_coeff.c # 19";"cluster_coeff.c # 37"
"3";"'ind'";"mod1.c # 24";"mod1.c # 44";"1";"2";"0";"mod1.c # 24";"mod1.c # 26"
"4";"'checkIN'";"probmod.c # 47";"probmod.c # 270";"2";"5";"0";"probmod.c # 48";"probmod.c # 201"
"3";"'checkOUT'";"probmod.c # 45";"probmod.c # 271";"2";"5";"0";"probmod.c # 46";"probmod.c # 246"
"5";"'memory'";"probmod.c # 56";"probmod.c # 272";"2";"3";"0";"probmod.c # 57";"probmod.c # 74"
"4";"'coord'";"triangola.c # 53";"triangola.c # 73";"2";"2";"0";"triangola.c # 55";"triangola.c # 73"
"5";"'coord'";"triangola.c # 73";"triangola.c # 76";"2";"2";"0";"triangola.c # 73";"triangola.c # 76"
"5";"'coord'";"triangola.c # 76";"triangola.c # 73";"3";"2";"0";"triangola.c # 76";"triangola.c # 76"
"5";"'coord'";"triangola.c # 73";"triangola.c # 76";"4";"2";"0";"triangola.c # 73";"triangola.c # 76"
"5";"'coord'";"triangola.c # 76";"triangola.c # 73";"5";"2";"0";"triangola.c # 76";"triangola.c # 76"
"5";"'coord'";"triangola.c # 73";"triangola.c # 76";"6";"2";"0";"triangola.c # 73";"triangola.c # 76"
"5";"'coord'";"triangola.c # 76";"triangola.c # 73";"7";"2";"0";"triangola.c # 76";"triangola.c # 76"
"5";"'coord'";"triangola.c # 73";"triangola.c # 76";"8";"2";"0";"triangola.c # 73";"triangola.c # 76"
"5";"'coord'";"triangola.c # 76";"triangola.c # 73";"9";"2";"0";"triangola.c # 76";"triangola.c # 76"
"5";"'coord'";"triangola.c # 73";"triangola.c # 76";"10";"2";"0";"triangola.c # 73";"triangola.c # 76"
"5";"'coord'";"triangola.c # 76";"triangola.c # 73";"11";"2";"0";"triangola.c # 76";"triangola.c # 76"
"5";"'coord'";"triangola.c # 73";"triangola.c # 76";"12";"2";"0";"triangola.c # 73";"triangola.c # 76"
"5";"'coord'";"triangola.c # 76";"triangola.c # 73";"13";"2";"0";"triangola.c # 76";"triangola.c # 115"
"6";"'coord'";"triangola.c # 73";"triangola.c # 76";"2";"2";"0";"triangola.c # 73";"triangola.c # 76"
"6";"'coord'";"triangola.c # 76";"triangola.c # 147";"3";"2";"0";"triangola.c # 76";"triangola.c # 76"
"5";"'tmp_coord1'";"triangola.c # 101";"triangola.c # 149";"12";"2";"0";"triangola.c # 101";"triangola.c # 115"
"5";"'checkIN'";"probmod.c # 47";"probmod.c # 270";"5";"5";"0";"probmod.c # 48";"probmod.c # 201"
"4";"'checkOUT'";"probmod.c # 45";"probmod.c # 271";"5";"5";"0";"probmod.c # 46";"probmod.c # 246"
"6";"'memory'";"probmod.c # 56";"probmod.c # 272";"5";"3";"0";"probmod.c # 57";"probmod.c # 74"
"5";"'coord'";"triangola.c # 53";"triangola.c # 73";"2";"2";"0";"triangola.c # 55";"triangola.c # 73"
"6";"'coord'";"triangola.c # 73";"triangola.c # 76";"2";"2";"0";"triangola.c # 73";"triangola.c # 76"
"6";"'coord'";"triangola.c # 76";"triangola.c # 73";"3";"2";"0";"triangola.c # 76";"triangola.c # 76"
"6";"'coord'";"triangola.c # 73";"triangola.c # 76";"4";"2";"0";"triangola.c # 73";"triangola.c # 76"
"6";"'coord'";"triangola.c # 76";"triangola.c # 73";"5";"2";"0";"triangola.c # 76";"triangola.c # 76"
"6";"'coord'";"triangola.c # 73";"triangola.c # 76";"6";"2";"0";"triangola.c # 73";"triangola.c # 76"
"6";"'coord'";"triangola.c # 76";"triangola.c # 73";"7";"2";"0";"triangola.c # 76";"triangola.c # 76"
"6";"'coord'";"triangola.c # 73";"triangola.c # 76";"8";"2";"0";"triangola.c # 73";"triangola.c # 76"
"6";"'coord'";"triangola.c # 76";"triangola.c # 73";"9";"2";"0";"triangola.c # 76";"triangola.c # 76"
"6";"'coord'";"triangola.c # 73";"triangola.c # 76";"10";"2";"0";"triangola.c # 73";"triangola.c # 76"
"6";"'coord'";"triangola.c # 76";"triangola.c # 73";"11";"2";"0";"triangola.c # 76";"triangola.c # 76"
"6";"'coord'";"triangola.c # 73";"triangola.c # 76";"12";"2";"0";"triangola.c # 73";"triangola.c # 76"
"6";"'coord'";"triangola.c # 76";"triangola.c # 73";"13";"2";"0";"triangola.c # 76";"triangola.c # 115"
"7";"'coord'";"triangola.c # 73";"triangola.c # 76";"2";"2";"0";"triangola.c # 73";"triangola.c # 76"
