"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"2";"'M'";"connectivity_scalefree.c # 483";"simulatenet.c # 158";"5";"5";"0";"connectivity_scalefree.c # 484";"boole_result.c # 56"
"2";"'ris'";"lsoda.c # 118";"simulatenet.c # 382";"5";"51";"0";"lsoda.c # 135";"simulatenet.c # 382"
"1";"'tmpm1_d'";"simulatenet.c # 74";"simulatenet.c # 382";"5";"5";"0";"simulatenet.c # 74";"simulatenet.c # 382"
--------------------------------------

"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"2";"'tmpm_d'";"score_sf.c # 117";"score_sf.c # 170";"1";"2";"0";"score_sf.c # 117";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"2";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"1";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"2";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"3";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"3";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"3";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"3";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"1";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"2";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"3";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"4";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"4";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"2";"'tmpm_d'";"score_sf.c # 71";"score_sf.c # 170";"4";"2";"0";"score_sf.c # 71";"score_sf.c # 129"
"1";"'aus'";"connectivity_scalefree.c # 76";"connectivity_scalefree.c # 540";"7";"2";"0";"connectivity_scalefree.c # 76";"connectivity_scalefree.c # 88"
