"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"1";"'M'";"simulateprofiles.c # 87";"simulateprofiles.c # 151";"5";"5";"0";"simulateprofiles.c # 87";"boole_result.c # 56"
"2";"'ris'";"lsoda.c # 118";"simulateprofiles.c # 654";"5";"51";"0";"lsoda.c # 135";"simulateprofiles.c # 654"
"3";"'weights1[f]'";"simulateprofiles.c # 373";"simulateprofiles.c # 658";"5";"5";"0";"simulateprofiles.c # 373";"simulateprofiles.c # 384"
"4";"'Mdiscr'";"simulateprofiles.c # 384";"simulateprofiles.c # 675";"5";"5";"0";"simulateprofiles.c # 384";"createRules.c # 50"
"2";"'ext_in'";"simulateprofiles.c # 244";"simulateprofiles.c # 681";"0";"0";"0";" # 0";" # 0"
"1";"'weights'";"simulateprofiles.c # 195";"simulateprofiles.c # 682";"5";"5";"0";"simulateprofiles.c # 373";"simulateprofiles.c # 373"
--------------------------------------

"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
