CPU: Intel Architectural Perfmon, speed 1199 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
samples  %        linenr info                 image name               symbol name
2548375  84.7992  (no location information)   /usr/lib/libgomp.so.1.0.0 /usr/lib/libgomp.so.1.0.0
191769    6.3813  r_aux_i.c:0                 /home/marco/Documenti/hmm_linux/hmm.so _somma1_m_i.omp_fn.0
65448     2.1778  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma_righe_i
52929     1.7613  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _trasponi_i
43023     1.4316  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma_colonne_i
22938     0.7633  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma_riga_i
21181     0.7048  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_m_rowindxne_i
15171     0.5048  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _elimina1_indx_i
14699     0.4891  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_m_indxne_i
7298      0.2428  (no location information)   /usr/lib/R/lib/libR.so   /usr/lib/R/lib/libR.so
6768      0.2252  (no location information)   /lib/libc-2.10.1.so      /lib/libc-2.10.1.so
3969      0.1321  (no location information)   /lib/libglib-2.0.so.0.2200.3 /lib/libglib-2.0.so.0.2200.3
1014      0.0337  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _esiste_v_i
952       0.0317  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _assegna_v_indxNA_d
922       0.0307  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so Uguale
642       0.0214  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_v_indxNA_d
611       0.0203  /home/marco/Documenti/hmm_linux/hist.c:10 /home/marco/Documenti/hmm_linux/hmm.so _hist1
580       0.0193  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _f_aux_d
492       0.0164  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma_vs_i
433       0.0144  /home/marco/Documenti/hmm_linux/cluster_coeff.c:8 /home/marco/Documenti/hmm_linux/hmm.so cluster_coeff2
