700: 11.63 sec
CPU: Intel Architectural Perfmon, speed 1199 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
samples  %        linenr info                 image name               symbol name
123815   34.9730  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma1_m_i
56050    15.8320  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma_righe_i
52226    14.7519  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _trasponi_i
41602    11.7510  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma_colonne_i
18612     5.2572  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_m_rowindxne_i
16368     4.6233  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma_riga_i
11262     3.1811  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _elimina1_indx_i
11137     3.1458  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_m_indxne_i
6396      1.8066  (no location information)   /usr/lib/R/lib/libR.so   /usr/lib/R/lib/libR.so
4758      1.3440  (no location information)   /lib/libc-2.10.1.so      /lib/libc-2.10.1.so
3072      0.8677  (no location information)   /lib/libglib-2.0.so.0.2200.3 /lib/libglib-2.0.so.0.2200.3
808       0.2282  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so Uguale
783       0.2212  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _assegna_v_indxNA_d
741       0.2093  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _esiste_v_i
481       0.1359  /home/marco/Documenti/hmm_linux/hist.c:10 /home/marco/Documenti/hmm_linux/hmm.so _hist1
371       0.1048  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma_vs_i
340       0.0960  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _f_aux_d
328       0.0926  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _InitMatr_i
272       0.0768  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _diff_vv_d
257       0.0726  (no location information)   /lib/libz.so.1.2.3.3     /lib/libz.so.1.2.3.3
254       0.0717  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _aggiungi_ms_rigaindx_i
236       0.0667  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_v_indxNA_d
229       0.0647  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _assegna_v_indxNA_i
197       0.0556  /home/marco/Documenti/hmm_linux/cluster_coeff.c:8 /home/marco/Documenti/hmm_linux/hmm.so cluster_coeff2
160       0.0452  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _elimina_doppi_i
155       0.0438  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _cbind2v_d
