"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"1";"'prior_p_subnet'";"HMM.c # 1010";"HMM.c # 1055";"6";"0";"HMM.c # 80";"HMM.c # 80"
"39";"'g_tmp_d'";"assign_nodes.c # 83";"globali.c # 310";"5";"0";"assign_nodes.c # 83";"assign_nodes.c # 85"
"38";"'g_p'";"assign_nodes.c # 63";"globali.c # 315";"5";"0";"assign_nodes.c # 63";"assign_nodes.c # 85"
"18";"'g_scalare_d'";"scoremodular.c # 43";"globali.c # 341";"1";"0";" # 0";" # 0"
"32";"'g_tmp1_d'";"scoremodular.c # 144";"globali.c # 344";"5";"0";"scoremodular.c # 144";"scoremodular.c # 158"
"19";"'g_T1'";"scoremodular.c # 49";"globali.c # 345";"5";"0";"scoremodular.c # 49";"scoremodular.c # 95"
"20";"'g_T2'";"scoremodular.c # 52";"globali.c # 346";"5";"0";"scoremodular.c # 52";"scoremodular.c # 142"
"21";"'g_old1'";"scoremodular.c # 55";"globali.c # 347";"5";"0";"scoremodular.c # 55";"scoremodular.c # 72"
"22";"'g_old2'";"scoremodular.c # 58";"globali.c # 348";"5";"0";"scoremodular.c # 58";"scoremodular.c # 125"
"23";"'g_new1'";"scoremodular.c # 60";"globali.c # 349";"5";"0";"scoremodular.c # 60";"scoremodular.c # 75"
"24";"'g_new2'";"scoremodular.c # 62";"globali.c # 350";"5";"0";"scoremodular.c # 62";"scoremodular.c # 128"
"25";"'g_toll1'";"scoremodular.c # 66";"globali.c # 351";"5";"0";"scoremodular.c # 66";"scoremodular.c # 100"
"26";"'g_toll2'";"scoremodular.c # 70";"globali.c # 352";"5";"0";"scoremodular.c # 70";"scoremodular.c # 147"
"27";"'g_a'";"scoremodular.c # 72";"globali.c # 353";"5";"0";"scoremodular.c # 72";"scoremodular.c # 144"
"28";"'g_b'";"scoremodular.c # 75";"globali.c # 354";"5";"0";"scoremodular.c # 75";"scoremodular.c # 147"
"30";"'g_m'";"scoremodular.c # 140";"globali.c # 356";"5";"0";"scoremodular.c # 140";"scoremodular.c # 142"
"29";"'g_S1'";"scoremodular.c # 121";"globali.c # 357";"5";"0";"scoremodular.c # 122";"scoremodular.c # 173"
"31";"'g_S2'";"scoremodular.c # 142";"globali.c # 358";"5";"0";"scoremodular.c # 142";"scoremodular.c # 173"
"12";"'g_toll'";"HMM.c # 194";"globali.c # 430";"7";"0";"HMM.c # 194";"scoremodular.c # 70"
"4";"'g_prior_p_subnet'";"HMM.c # 80";"globali.c # 431";"7";"0";"HMM.c # 80";"HMM.c # 301"
"7";"'g_Freq_in'";"HMM.c # 133";"globali.c # 432";"7";"0";"HMM.c # 133";"HMM.c # 783"
"6";"'g_Freq_out'";"HMM.c # 132";"globali.c # 433";"7";"0";"HMM.c # 132";"HMM.c # 962"
"5";"'g_tmp1_d'";"HMM.c # 131";"globali.c # 434";"6";"1";"HMM.c # 131";"HMM.c # 783"
"8";"'g_tmp2_d'";"HMM.c # 138";"globali.c # 435";"7";"1";"HMM.c # 138";"HMM.c # 192"
"2";"'g_scalare_d'";"HMM.c # 76";"globali.c # 436";"1";"0";"HMM.c # 130";"HMM.c # 141"
"3";"'g_scalare1_d'";"HMM.c # 77";"globali.c # 437";"1";"0";"HMM.c # 139";"HMM.c # 141"
"9";"'g_Prob'";"HMM.c # 141";"globali.c # 438";"7";"0";"HMM.c # 141";"HMM.c # 155"
"11";"'g_STin'";"HMM.c # 157";"globali.c # 439";"7";"0";"HMM.c # 157";"scoremodular.c # 52"
"10";"'g_STout'";"HMM.c # 155";"globali.c # 440";"7";"0";"HMM.c # 155";"scoremodular.c # 52"
"14";"'g_p'";"HMM.c # 226";"globali.c # 441";"1";"0";"HMM.c # 226";"HMM.c # 283"
"13";"'g_CCp'";"HMM.c # 204";"globali.c # 443";"7";"0";"HMM.c # 204";"HMM.c # 301"
"16";"'g_ppp'";"HMM.c # 301";"globali.c # 444";"7";"0";"HMM.c # 301";"HMM.c # 438"
"15";"'ris'";"cluster_coeff.c # 31";"globali.c # 445";"5";"0";"cluster_coeff.c # 32";"cluster_coeff.c # 65"
"40";"'Sc'";"scoremodular.c # 173";"globali.c # 446";"5";"0";"scoremodular.c # 173";"HMM.c # 947"
"36";"'g_pm'";"HMM.c # 375";"globali.c # 447";"3";"0";"HMM.c # 375";"HMM.c # 385"
"37";"'g_prob_mod'";"HMM.c # 376";"globali.c # 448";"3";"0";"HMM.c # 376";"HMM.c # 392"
"41";"'g_p_out'";"HMM.c # 947";"globali.c # 449";"5";"0";"HMM.c # 947";"HMM.c # 947"
"33";"'Sc'";"scoremodular.c # 173";"globali.c # 466";"5";"0";"scoremodular.c # 173";"probmod.c # 176"
"35";"'Sc'";"scoremodular.c # 173";"globali.c # 467";"5";"0";"scoremodular.c # 173";"probmod.c # 176"
"17";"'g_scalare_d'";"probmod.c # 55";"globali.c # 469";"1";"0";" # 0";" # 0"
"34";"'g_tmp_d1'";"probmod.c # 124";"globali.c # 486";"5";"0";"probmod.c # 124";"probmod.c # 177"
--------------------------------------

