"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"1";"'ris'";"/home/marco/hmm/pathlength.c # 43";"/home/marco/hmm/globali.c # 339";"2";"2";"0";"/home/marco/hmm/pathlength.c # 44";"/home/marco/hmm/hubs.c # 48"
--------------------------------------

"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"3";"'g_tmpm_d'";"/home/marco/hmm/scoremodular.c # 139";"/home/marco/hmm/globali.c # 341";"5";"2";"0";"/home/marco/hmm/scoremodular.c # 139";"/home/marco/hmm/scoremodular.c # 140"
"1";"'g_aus'";"/home/marco/hmm/HMM.c # 191";"/home/marco/hmm/globali.c # 456";"7";"2";"0";"/home/marco/hmm/HMM.c # 191";"/home/marco/hmm/HMM.c # 193"
"2";"'ris'";"/home/marco/hmm/probmod.c # 63";"/home/marco/hmm/globali.c # 457";"2";"5";"0";"/home/marco/hmm/probmod.c # 64";"/home/marco/hmm/HMM.c # 410"
"4";"'ris'";"/home/marco/hmm/probmod.c # 63";"/home/marco/hmm/globali.c # 458";"2";"5";"0";"/home/marco/hmm/probmod.c # 64";"/home/marco/hmm/probmod.c # 182"
"5";"'ris'";"/home/marco/hmm/probmod.c # 63";"/home/marco/hmm/globali.c # 459";"2";"5";"0";"/home/marco/hmm/probmod.c # 64";"/home/marco/hmm/probmod.c # 182"
"6";"'g_Sc'";"/home/marco/hmm/HMM.c # 430";"/home/marco/hmm/globali.c # 460";"2";"5";"0";"/home/marco/hmm/HMM.c # 430";"/home/marco/hmm/assign_nodes.c # 63"
--------------------------------------

