"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"1";"'tmp_i'";"/home/marco/hmm/read_table.c # 109";"/home/marco/hmm/read_table.c # 114";"0";"0";" # 0";" # 0"
"2";"'tmp_i'";"/home/marco/hmm/read_table.c # 114";"/home/marco/hmm/read_table.c # 118";"2";"0";"/home/marco/hmm/read_table.c # 114";"/home/marco/hmm/read_table.c # 118"
"2";"'tmp_i'";"/home/marco/hmm/read_table.c # 118";"/home/marco/hmm/read_table.c # 118";"6";"0";"/home/marco/hmm/read_table.c # 118";"/home/marco/hmm/read_table.c # 118"
"2";"'tmp_i'";"/home/marco/hmm/read_table.c # 118";"/home/marco/hmm/read_table.c # 114";"14";"0";"/home/marco/hmm/read_table.c # 118";"/home/marco/hmm/read_table.c # 114"
"2";"'tmp_i'";"/home/marco/hmm/read_table.c # 114";"/home/marco/hmm/read_table.c # 118";"30";"0";"/home/marco/hmm/read_table.c # 114";"/home/marco/hmm/read_table.c # 118"
"2";"'tmp_i'";"/home/marco/hmm/read_table.c # 118";"/home/marco/hmm/read_table.c # 133";"62";"0";"/home/marco/hmm/read_table.c # 118";"/home/marco/hmm/read_table.c # 129"
"10";"'g_visitati'";"/home/marco/hmm/pathlength.c # 69";"/home/marco/hmm/pathlength.c # 69";"1";"0";"/home/marco/hmm/pathlength.c # 69";"/home/marco/hmm/r2clib/r_aux_i.c # 5010"
"10";"'g_new_neighbours'";"/home/marco/hmm/pathlength.c # 73";"/home/marco/hmm/pathlength.c # 80";"0";"0";" # 0";" # 0"
"11";"'g_new_neighbours'";"/home/marco/hmm/pathlength.c # 80";"/home/marco/hmm/pathlength.c # 80";"0";"0";" # 0";" # 0"
"11";"'ris'";"/home/marco/hmm/r2clib/r_aux_i.c # 3029";"/home/marco/hmm/pathlength.c # 84";"0";"0";" # 0";" # 0"
"11";"'g_new_neighbours'";"/home/marco/hmm/pathlength.c # 84";"/home/marco/hmm/pathlength.c # 84";"0";"0";" # 0";" # 0"
"18";"'g_visitati'";"/home/marco/hmm/pathlength.c # 69";"/home/marco/hmm/pathlength.c # 69";"2";"0";"/home/marco/hmm/pathlength.c # 69";"/home/marco/hmm/r2clib/r_aux_i.c # 5010"
"11";"'ris'";"/home/marco/hmm/r2clib/r_aux_i.c # 3029";"/home/marco/hmm/pathlength.c # 80";"0";"0";" # 0";" # 0"
"18";"'g_new_neighbours'";"/home/marco/hmm/pathlength.c # 80";"/home/marco/hmm/pathlength.c # 80";"0";"0";" # 0";" # 0"
"18";"'ris'";"/home/marco/hmm/r2clib/r_aux_i.c # 3029";"/home/marco/hmm/pathlength.c # 80";"0";"0";" # 0";" # 0"
"18";"'g_new_neighbours'";"/home/marco/hmm/pathlength.c # 80";"/home/marco/hmm/pathlength.c # 80";"2";"0";"/home/marco/hmm/pathlength.c # 80";"/home/marco/hmm/r2clib/r_aux_i.c # 5010"
"18";"'ris'";"/home/marco/hmm/r2clib/r_aux_i.c # 3029";"/home/marco/hmm/pathlength.c # 84";"2";"0";"/home/marco/hmm/r2clib/r_aux_i.c # 5010";"/home/marco/hmm/pathlength.c # 84"
"18";"'g_new_neighbours'";"/home/marco/hmm/pathlength.c # 84";"/home/marco/hmm/pathlength.c # 84";"4";"0";"/home/marco/hmm/pathlength.c # 84";"/home/marco/hmm/r2clib/r_aux_i.c # 5010"
