"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"8";"'ris'";"HMM.c # 123";"HMM.c # 1047";"5";"5";"0";"HMM.c # 124";"HMM.c # 1047"
"1";"'VECTOR_ELT(elem, 1)'";"HMM.c # 1028";"HMM.c # 1050";"1";"2";"0";"HMM.c # 95";"HMM.c # 336"
"2";"'VECTOR_ELT(elem, 1)'";"HMM.c # 1028";"HMM.c # 1050";"1";"2";"0";"HMM.c # 95";"HMM.c # 95"
"3";"'VECTOR_ELT(elem, 1)'";"HMM.c # 1028";"HMM.c # 1050";"1";"2";"0";"HMM.c # 95";"HMM.c # 362"
"4";"'VECTOR_ELT(elem, 1)'";"HMM.c # 1028";"HMM.c # 1050";"1";"2";"0";"HMM.c # 95";"HMM.c # 346"
"5";"'VECTOR_ELT(elem, 1)'";"HMM.c # 1028";"HMM.c # 1050";"1";"2";"0";"HMM.c # 95";"HMM.c # 346"
"6";"'VECTOR_ELT(elem, 1)'";"HMM.c # 1028";"HMM.c # 1050";"1";"2";"0";"HMM.c # 95";"HMM.c # 362"
"7";"'VECTOR_ELT(elem, 1)'";"HMM.c # 1028";"HMM.c # 1050";"1";"2";"0";"HMM.c # 95";"HMM.c # 95"
"9";"'g_tmpm_i'";"cluster_coeff.c # 20";"globali.c # 304";"5";"5";"0";"cluster_coeff.c # 20";"cluster_coeff.c # 38"
"17";"'g_Mt'";"check_conn.c # 32";"globali.c # 391";"5";"5";"0";"check_conn.c # 32";"check_conn.c # 33"
"18";"'g_Maus'";"check_conn.c # 33";"globali.c # 392";"5";"5";"0";"check_conn.c # 33";"check_conn.c # 54"
"16";"'g_M'";"HMM.c # 409";"globali.c # 450";"2";"2";"0";"HMM.c # 409";"assign_nodes.c # 103"
"10";"'g_mod1'";"HMM.c # 336";"globali.c # 451";"2";"2";"0";"HMM.c # 336";"probmod.c # 71"
"14";"'g_mod2'";"HMM.c # 346";"globali.c # 452";"2";"2";"0";"HMM.c # 346";"HMM.c # 409"
"15";"'g_mod3'";"HMM.c # 362";"globali.c # 453";"2";"2";"0";"HMM.c # 362";"probmod.c # 71"
"19";"'g_tmpm_i'";"HMM.c # 977";"globali.c # 454";"5";"2";"0";"HMM.c # 977";"write_table.c # 28"
"12";"'g_checkIN'";"probmod.c # 64";"globali.c # 470";"2";"5";"0";"probmod.c # 65";"probmod.c # 218"
"11";"'g_checkOUT'";"probmod.c # 62";"globali.c # 471";"2";"5";"0";"probmod.c # 63";"probmod.c # 263"
"13";"'g_memory'";"probmod.c # 73";"globali.c # 472";"2";"3";"0";"probmod.c # 74";"probmod.c # 91"
--------------------------------------

