"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"1";"'prior_p_subnet'";"HMM.c # 1010";"HMM.c # 1055";"6";"0";"HMM.c # 80";"HMM.c # 80"
"39";"'g_tmp_d'";"assign_nodes.c # 83";"globali.c # 310";"5";"0";"assign_nodes.c # 83";"assign_nodes.c # 85"
"38";"'g_p'";"assign_nodes.c # 63";"globali.c # 315";"5";"0";"assign_nodes.c # 63";"assign_nodes.c # 85"
"18";"'g_scalare_d'";"scoremodular.c # 43";"globali.c # 341";"1";"0";" # 0";" # 0"
"32";"'g_tmp1_d'";"scoremodular.c # 144";"globali.c # 344";"5";"0";"scoremodular.c # 144";"scoremodular.c # 163"
"19";"'g_T1'";"scoremodular.c # 49";"globali.c # 345";"5";"0";"scoremodular.c # 49";"scoremodular.c # 78"
"20";"'g_T2'";"scoremodular.c # 52";"globali.c # 346";"5";"0";"scoremodular.c # 52";"scoremodular.c # 131"
"21";"'g_old1'";"scoremodular.c # 55";"globali.c # 347";"5";"0";"scoremodular.c # 55";"scoremodular.c # 72"
"22";"'g_old2'";"scoremodular.c # 58";"globali.c # 348";"5";"0";"scoremodular.c # 58";"scoremodular.c # 125"
"23";"'g_new1'";"scoremodular.c # 60";"globali.c # 349";"5";"0";"scoremodular.c # 60";"scoremodular.c # 75"
"24";"'g_new2'";"scoremodular.c # 62";"globali.c # 350";"5";"0";"scoremodular.c # 62";"scoremodular.c # 128"
"25";"'g_toll1'";"scoremodular.c # 66";"globali.c # 351";"5";"0";"scoremodular.c # 66";"scoremodular.c # 100"
"26";"'g_toll2'";"scoremodular.c # 70";"globali.c # 352";"5";"0";"scoremodular.c # 70";"scoremodular.c # 147"
"27";"'g_a'";"scoremodular.c # 72";"globali.c # 353";"5";"0";"scoremodular.c # 72";"scoremodular.c # 126"
"28";"'g_b'";"scoremodular.c # 75";"globali.c # 354";"5";"0";"scoremodular.c # 75";"scoremodular.c # 129"
"30";"'g_m'";"scoremodular.c # 140";"globali.c # 356";"5";"0";"scoremodular.c # 140";"scoremodular.c # 142"
"29";"'g_S1'";"scoremodular.c # 121";"globali.c # 357";"5";"0";"scoremodular.c # 122";"scoremodular.c # 173"
"31";"'g_S2'";"scoremodular.c # 142";"globali.c # 358";"5";"0";"scoremodular.c # 142";"scoremodular.c # 173"
"51";"'g_Sc2_out'";"connetti_scalefree.c # 136";"globali.c # 365";"1";"0";"connetti_scalefree.c # 136";"connetti_scalefree.c # 142"
"50";"'g_Sc2_in'";"connetti_scalefree.c # 134";"globali.c # 366";"2";"0";"connetti_scalefree.c # 134";"connetti_scalefree.c # 142"
"43";"'g_toll'";"connetti_scalefree.c # 58";"globali.c # 367";"7";"0";"connetti_scalefree.c # 58";"scoremodular.c # 70"
"49";"'g_Sc1_out'";"connetti_scalefree.c # 132";"globali.c # 368";"1";"0";"connetti_scalefree.c # 132";"connetti_scalefree.c # 195"
"54";"'g_p_out'";"connetti_scalefree.c # 195";"globali.c # 370";"1";"0";"connetti_scalefree.c # 195";"connetti_scalefree.c # 195"
"48";"'g_Sc1_in'";"connetti_scalefree.c # 130";"globali.c # 371";"3";"0";"connetti_scalefree.c # 130";"connetti_scalefree.c # 187"
"46";"'g_Freq_in'";"connetti_scalefree.c # 88";"globali.c # 373";"3";"0";"connetti_scalefree.c # 88";"scoremodular.c # 58"
"45";"'Sc'";"scoremodular.c # 173";"globali.c # 375";"5";"0";"scoremodular.c # 173";"connetti_scalefree.c # 136"
"44";"'g_Freq_out'";"connetti_scalefree.c # 72";"globali.c # 377";"3";"0";"connetti_scalefree.c # 72";"scoremodular.c # 58"
"52";"'g_p'";"connetti_scalefree.c # 144";"globali.c # 386";"2";"0";"connetti_scalefree.c # 144";"connetti_scalefree.c # 151"
"53";"'g_p_in'";"connetti_scalefree.c # 187";"globali.c # 387";"3";"0";"connetti_scalefree.c # 187";"connetti_scalefree.c # 187"
"47";"'Sc'";"scoremodular.c # 173";"globali.c # 388";"5";"0";"scoremodular.c # 173";"connetti_scalefree.c # 134"
"41";"'g_tmp1_d'";"check_conn.c # 46";"globali.c # 398";"4";"0";"check_conn.c # 47";"check_conn.c # 49"
"40";"'g_scalare_d'";"check_conn.c # 27";"globali.c # 400";"1";"0";"check_conn.c # 48";"check_conn.c # 49"
"12";"'g_toll'";"HMM.c # 194";"globali.c # 430";"7";"0";"HMM.c # 194";"connetti_scalefree.c # 58"
"4";"'g_prior_p_subnet'";"HMM.c # 80";"globali.c # 431";"7";"0";"HMM.c # 80";"HMM.c # 301"
"7";"'g_Freq_in'";"HMM.c # 133";"globali.c # 432";"7";"0";"HMM.c # 133";"HMM.c # 783"
"6";"'g_Freq_out'";"HMM.c # 132";"globali.c # 433";"7";"0";"HMM.c # 132";"HMM.c # 774"
"5";"'g_tmp1_d'";"HMM.c # 131";"globali.c # 434";"6";"1";"HMM.c # 131";"HMM.c # 783"
"8";"'g_tmp2_d'";"HMM.c # 138";"globali.c # 435";"7";"1";"HMM.c # 138";"HMM.c # 192"
"2";"'g_scalare_d'";"HMM.c # 76";"globali.c # 436";"1";"0";"HMM.c # 130";"HMM.c # 141"
"3";"'g_scalare1_d'";"HMM.c # 77";"globali.c # 437";"1";"0";"HMM.c # 139";"HMM.c # 141"
"9";"'g_Prob'";"HMM.c # 141";"globali.c # 438";"7";"0";"HMM.c # 141";"HMM.c # 155"
"11";"'g_STin'";"HMM.c # 157";"globali.c # 439";"7";"0";"HMM.c # 157";"scoremodular.c # 52"
"10";"'g_STout'";"HMM.c # 155";"globali.c # 440";"7";"0";"HMM.c # 155";"scoremodular.c # 52"
"14";"'g_p'";"HMM.c # 226";"globali.c # 441";"1";"0";"HMM.c # 226";"HMM.c # 283"
"42";"'ris'";"check_conn.c # 49";"globali.c # 442";"5";"0";"check_conn.c # 49";"HMM.c # 879"
"13";"'g_CCp'";"HMM.c # 204";"globali.c # 443";"7";"0";"HMM.c # 204";"HMM.c # 301"
"16";"'g_ppp'";"HMM.c # 301";"globali.c # 444";"7";"0";"HMM.c # 301";"HMM.c # 438"
"15";"'ris'";"cluster_coeff.c # 31";"globali.c # 445";"5";"0";"cluster_coeff.c # 32";"cluster_coeff.c # 65"
"36";"'g_pm'";"HMM.c # 375";"globali.c # 447";"3";"0";"HMM.c # 375";"HMM.c # 385"
"37";"'g_prob_mod'";"HMM.c # 376";"globali.c # 448";"3";"0";"HMM.c # 376";"HMM.c # 392"
"33";"'Sc'";"scoremodular.c # 173";"globali.c # 466";"5";"0";"scoremodular.c # 173";"probmod.c # 176"
"35";"'Sc'";"scoremodular.c # 173";"globali.c # 467";"5";"0";"scoremodular.c # 173";"probmod.c # 176"
"17";"'g_scalare_d'";"probmod.c # 55";"globali.c # 469";"1";"0";" # 0";" # 0"
"34";"'g_tmp_d1'";"probmod.c # 124";"globali.c # 486";"5";"0";"probmod.c # 124";"probmod.c # 177"
--------------------------------------

