"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"3";"'ris'";"/home/marco/hmm/cluster_coeff.c # 31";"/home/marco/hmm/create_mod.c # 102";"2";"0";"/home/marco/hmm/cluster_coeff.c # 32";"/home/marco/hmm/cluster_coeff.c # 65"
"1";"'g_distanza'";"/home/marco/hmm/pathlength.c # 50";"/home/marco/hmm/globali.c # 325";"2";"0";"/home/marco/hmm/pathlength.c # 50";"/home/marco/hmm/pathlength.c # 94"
"4";"'g_P'";"/home/marco/hmm/hubs.c # 49";"/home/marco/hmm/globali.c # 332";"2";"0";"/home/marco/hmm/hubs.c # 49";"/home/marco/hmm/hubs.c # 52"
"2";"'g_tmp1_d'";"/home/marco/hmm/hubs.c # 34";"/home/marco/hmm/globali.c # 336";"2";"0";"/home/marco/hmm/hubs.c # 34";"/home/marco/hmm/hubs.c # 49"
--------------------------------------

"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"1";"'prior_p_subnet'";"/home/marco/hmm/HMM.c # 999";"/home/marco/hmm/HMM.c # 1044";"6";"0";"/home/marco/hmm/HMM.c # 79";"/home/marco/hmm/HMM.c # 79"
"38";"'g_tmp_d'";"/home/marco/hmm/assign_nodes.c # 83";"/home/marco/hmm/globali.c # 311";"5";"0";"/home/marco/hmm/assign_nodes.c # 83";"/home/marco/hmm/assign_nodes.c # 85"
"37";"'g_p'";"/home/marco/hmm/assign_nodes.c # 63";"/home/marco/hmm/globali.c # 316";"5";"0";"/home/marco/hmm/assign_nodes.c # 63";"/home/marco/hmm/assign_nodes.c # 85"
"17";"'g_scalare_d'";"/home/marco/hmm/scoremodular.c # 43";"/home/marco/hmm/globali.c # 342";"1";"0";" # 0";" # 0"
"31";"'g_tmp1_d'";"/home/marco/hmm/scoremodular.c # 144";"/home/marco/hmm/globali.c # 345";"5";"0";"/home/marco/hmm/scoremodular.c # 144";"/home/marco/hmm/scoremodular.c # 163"
"18";"'g_T1'";"/home/marco/hmm/scoremodular.c # 49";"/home/marco/hmm/globali.c # 346";"5";"0";"/home/marco/hmm/scoremodular.c # 49";"/home/marco/hmm/scoremodular.c # 78"
"19";"'g_T2'";"/home/marco/hmm/scoremodular.c # 52";"/home/marco/hmm/globali.c # 347";"5";"0";"/home/marco/hmm/scoremodular.c # 52";"/home/marco/hmm/scoremodular.c # 131"
"20";"'g_old1'";"/home/marco/hmm/scoremodular.c # 55";"/home/marco/hmm/globali.c # 348";"5";"0";"/home/marco/hmm/scoremodular.c # 55";"/home/marco/hmm/scoremodular.c # 72"
"21";"'g_old2'";"/home/marco/hmm/scoremodular.c # 58";"/home/marco/hmm/globali.c # 349";"5";"0";"/home/marco/hmm/scoremodular.c # 58";"/home/marco/hmm/scoremodular.c # 125"
"22";"'g_new1'";"/home/marco/hmm/scoremodular.c # 60";"/home/marco/hmm/globali.c # 350";"5";"0";"/home/marco/hmm/scoremodular.c # 60";"/home/marco/hmm/scoremodular.c # 75"
"23";"'g_new2'";"/home/marco/hmm/scoremodular.c # 62";"/home/marco/hmm/globali.c # 351";"5";"0";"/home/marco/hmm/scoremodular.c # 62";"/home/marco/hmm/scoremodular.c # 128"
"24";"'g_toll1'";"/home/marco/hmm/scoremodular.c # 66";"/home/marco/hmm/globali.c # 352";"5";"0";"/home/marco/hmm/scoremodular.c # 66";"/home/marco/hmm/scoremodular.c # 100"
"25";"'g_toll2'";"/home/marco/hmm/scoremodular.c # 70";"/home/marco/hmm/globali.c # 353";"5";"0";"/home/marco/hmm/scoremodular.c # 70";"/home/marco/hmm/scoremodular.c # 147"
"26";"'g_a'";"/home/marco/hmm/scoremodular.c # 72";"/home/marco/hmm/globali.c # 354";"5";"0";"/home/marco/hmm/scoremodular.c # 72";"/home/marco/hmm/scoremodular.c # 126"
"27";"'g_b'";"/home/marco/hmm/scoremodular.c # 75";"/home/marco/hmm/globali.c # 355";"5";"0";"/home/marco/hmm/scoremodular.c # 75";"/home/marco/hmm/scoremodular.c # 129"
"29";"'g_m'";"/home/marco/hmm/scoremodular.c # 140";"/home/marco/hmm/globali.c # 357";"5";"0";"/home/marco/hmm/scoremodular.c # 140";"/home/marco/hmm/scoremodular.c # 142"
"28";"'g_S1'";"/home/marco/hmm/scoremodular.c # 121";"/home/marco/hmm/globali.c # 358";"5";"0";"/home/marco/hmm/scoremodular.c # 122";"/home/marco/hmm/scoremodular.c # 173"
"30";"'g_S2'";"/home/marco/hmm/scoremodular.c # 142";"/home/marco/hmm/globali.c # 359";"5";"0";"/home/marco/hmm/scoremodular.c # 142";"/home/marco/hmm/scoremodular.c # 173"
"12";"'g_toll'";"/home/marco/hmm/HMM.c # 193";"/home/marco/hmm/globali.c # 431";"7";"0";"/home/marco/hmm/HMM.c # 193";"/home/marco/hmm/scoremodular.c # 70"
"4";"'g_prior_p_subnet'";"/home/marco/hmm/HMM.c # 79";"/home/marco/hmm/globali.c # 432";"7";"0";"/home/marco/hmm/HMM.c # 79";"/home/marco/hmm/HMM.c # 297"
"7";"'g_Freq_in'";"/home/marco/hmm/HMM.c # 132";"/home/marco/hmm/globali.c # 433";"7";"0";"/home/marco/hmm/HMM.c # 132";"/home/marco/hmm/HMM.c # 772"
"6";"'g_Freq_out'";"/home/marco/hmm/HMM.c # 131";"/home/marco/hmm/globali.c # 434";"7";"0";"/home/marco/hmm/HMM.c # 131";"/home/marco/hmm/HMM.c # 763"
"5";"'g_tmp1_d'";"/home/marco/hmm/HMM.c # 130";"/home/marco/hmm/globali.c # 435";"6";"1";"/home/marco/hmm/HMM.c # 130";"/home/marco/hmm/HMM.c # 772"
"8";"'g_tmp2_d'";"/home/marco/hmm/HMM.c # 137";"/home/marco/hmm/globali.c # 436";"7";"1";"/home/marco/hmm/HMM.c # 137";"/home/marco/hmm/HMM.c # 191"
"2";"'g_scalare_d'";"/home/marco/hmm/HMM.c # 75";"/home/marco/hmm/globali.c # 437";"1";"0";"/home/marco/hmm/HMM.c # 129";"/home/marco/hmm/HMM.c # 140"
"3";"'g_scalare1_d'";"/home/marco/hmm/HMM.c # 76";"/home/marco/hmm/globali.c # 438";"1";"0";"/home/marco/hmm/HMM.c # 138";"/home/marco/hmm/HMM.c # 140"
"9";"'g_Prob'";"/home/marco/hmm/HMM.c # 140";"/home/marco/hmm/globali.c # 439";"7";"0";"/home/marco/hmm/HMM.c # 140";"/home/marco/hmm/HMM.c # 154"
"11";"'g_STin'";"/home/marco/hmm/HMM.c # 156";"/home/marco/hmm/globali.c # 440";"7";"0";"/home/marco/hmm/HMM.c # 156";"/home/marco/hmm/scoremodular.c # 52"
"10";"'g_STout'";"/home/marco/hmm/HMM.c # 154";"/home/marco/hmm/globali.c # 441";"7";"0";"/home/marco/hmm/HMM.c # 154";"/home/marco/hmm/scoremodular.c # 52"
"14";"'g_p'";"/home/marco/hmm/HMM.c # 225";"/home/marco/hmm/globali.c # 442";"1";"0";"/home/marco/hmm/HMM.c # 225";"/home/marco/hmm/HMM.c # 279"
"13";"'g_CCp'";"/home/marco/hmm/HMM.c # 203";"/home/marco/hmm/globali.c # 444";"7";"0";"/home/marco/hmm/HMM.c # 203";"/home/marco/hmm/HMM.c # 297"
"16";"'g_ppp'";"/home/marco/hmm/HMM.c # 297";"/home/marco/hmm/globali.c # 445";"7";"0";"/home/marco/hmm/HMM.c # 297";"/home/marco/hmm/HMM.c # 427"
