"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"1";"'prior_p_subnet'";"HMM_und.c # 841";"HMM_und.c # 884";"6";"0";"HMM_und.c # 81";"HMM_und.c # 81"
"17";"'g_scalare_d'";"scoremodular.c # 43";"globali.c # 341";"1";"0";" # 0";" # 0"
"30";"'g_tmp1_d'";"scoremodular.c # 97";"globali.c # 344";"5";"0";"scoremodular.c # 97";"scoremodular.c # 158"
"18";"'g_T1'";"scoremodular.c # 49";"globali.c # 345";"5";"0";"scoremodular.c # 49";"scoremodular.c # 95"
"19";"'g_T2'";"scoremodular.c # 52";"globali.c # 346";"5";"0";"scoremodular.c # 52";"scoremodular.c # 142"
"20";"'g_old1'";"scoremodular.c # 55";"globali.c # 347";"5";"0";"scoremodular.c # 55";"scoremodular.c # 72"
"21";"'g_old2'";"scoremodular.c # 58";"globali.c # 348";"5";"0";"scoremodular.c # 58";"scoremodular.c # 125"
"22";"'g_new1'";"scoremodular.c # 60";"globali.c # 349";"5";"0";"scoremodular.c # 60";"scoremodular.c # 75"
"23";"'g_new2'";"scoremodular.c # 62";"globali.c # 350";"5";"0";"scoremodular.c # 62";"scoremodular.c # 128"
"24";"'g_toll1'";"scoremodular.c # 66";"globali.c # 351";"5";"0";"scoremodular.c # 66";"scoremodular.c # 100"
"25";"'g_toll2'";"scoremodular.c # 70";"globali.c # 352";"5";"0";"scoremodular.c # 70";"scoremodular.c # 147"
"26";"'g_a'";"scoremodular.c # 72";"globali.c # 353";"5";"0";"scoremodular.c # 72";"scoremodular.c # 144"
"27";"'g_b'";"scoremodular.c # 75";"globali.c # 354";"5";"0";"scoremodular.c # 75";"scoremodular.c # 147"
"28";"'g_m'";"scoremodular.c # 93";"globali.c # 356";"5";"0";"scoremodular.c # 93";"scoremodular.c # 142"
"29";"'g_S1'";"scoremodular.c # 95";"globali.c # 357";"5";"0";"scoremodular.c # 95";"scoremodular.c # 173"
"31";"'g_S2'";"scoremodular.c # 142";"globali.c # 358";"5";"0";"scoremodular.c # 142";"scoremodular.c # 173"
"11";"'g_toll'";"HMM_und.c # 161";"globali.c # 517";"7";"0";"HMM_und.c # 161";"scoremodular.c # 70"
"4";"'g_prior_p_subnet'";"HMM_und.c # 81";"globali.c # 518";"7";"0";"HMM_und.c # 81";"HMM_und.c # 267"
"7";"'g_Freq_in'";"HMM_und.c # 125";"globali.c # 519";"7";"0";"HMM_und.c # 125";"HMM_und.c # 125"
"6";"'g_Freq_out'";"HMM_und.c # 124";"globali.c # 520";"7";"0";"HMM_und.c # 124";"HMM_und.c # 696"
"5";"'g_tmp1_d'";"HMM_und.c # 123";"globali.c # 521";"6";"1";"HMM_und.c # 123";"HMM_und.c # 696"
"8";"'g_tmp2_d'";"HMM_und.c # 130";"globali.c # 522";"7";"1";"HMM_und.c # 130";"HMM_und.c # 159"
"2";"'g_scalare_d'";"HMM_und.c # 77";"globali.c # 523";"1";"0";"HMM_und.c # 122";"HMM_und.c # 133"
"3";"'g_scalare1_d'";"HMM_und.c # 78";"globali.c # 524";"1";"0";"HMM_und.c # 131";"HMM_und.c # 133"
"9";"'g_Prob'";"HMM_und.c # 133";"globali.c # 525";"7";"0";"HMM_und.c # 133";"HMM_und.c # 151"
"10";"'g_STout'";"HMM_und.c # 147";"globali.c # 527";"7";"0";"HMM_und.c # 147";"scoremodular.c # 52"
"13";"'g_p'";"HMM_und.c # 193";"globali.c # 528";"1";"0";"HMM_und.c # 193";"HMM_und.c # 249"
"12";"'g_CCp'";"HMM_und.c # 171";"globali.c # 530";"7";"0";"HMM_und.c # 171";"HMM_und.c # 267"
"15";"'g_ppp'";"HMM_und.c # 267";"globali.c # 531";"7";"0";"HMM_und.c # 267";"HMM_und.c # 394"
"14";"'ris'";"cluster_coeff.c # 31";"globali.c # 532";"5";"0";"cluster_coeff.c # 32";"cluster_coeff.c # 65"
"34";"'g_pm'";"HMM_und.c # 340";"globali.c # 534";"3";"0";"HMM_und.c # 340";"HMM_und.c # 350"
"35";"'g_prob_mod'";"HMM_und.c # 341";"globali.c # 535";"3";"0";"HMM_und.c # 341";"HMM_und.c # 357"
"37";"'g_tmp_d'";"assign_nodes_und.c # 81";"globali.c # 554";"5";"0";"assign_nodes_und.c # 81";"assign_nodes_und.c # 83"
"36";"'g_p'";"assign_nodes_und.c # 61";"globali.c # 559";"5";"0";"assign_nodes_und.c # 61";"assign_nodes_und.c # 83"
"32";"'Sc'";"scoremodular.c # 173";"globali.c # 566";"5";"0";"scoremodular.c # 173";"probmod_und.c # 126"
"16";"'g_scalare_d'";"probmod_und.c # 48";"globali.c # 568";"1";"0";" # 0";" # 0"
"33";"'g_tmp_d1'";"probmod_und.c # 107";"globali.c # 585";"5";"0";"probmod_und.c # 107";"probmod_und.c # 111"
--------------------------------------

