"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"1";"'ris'";"/home/marco/hmm/read_table.c # 125";"/home/marco/hmm/create_mod.c # 103";"5";"7";"0";"/home/marco/hmm/read_table.c # 129";"/home/marco/hmm/create_mod.c # 51"
"2";"'mod'";"/home/marco/hmm/create_mod.c # 52";"/home/marco/hmm/create_mod.c # 104";"2";"2";"0";"/home/marco/hmm/create_mod.c # 54";"/home/marco/hmm/create_mod.c # 76"
"5";"'elem_ris->rete'";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146";"2";"2";"0";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146"
"6";"'elem_ris->rete'";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146";"2";"2";"0";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146"
"7";"'elem_ris->rete'";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146";"2";"2";"0";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146"
"8";"'elem_ris->rete'";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146";"2";"2";"0";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146"
"9";"'elem_ris->rete'";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146";"2";"2";"0";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146"
"10";"'elem_ris->rete'";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146";"2";"2";"0";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146"
"11";"'elem_ris->rete'";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146";"2";"2";"0";"/home/marco/hmm/create_mod.c # 76";"/home/marco/hmm/create_mod.c # 146"
"4";"'g_tmpm_i'";"/home/marco/hmm/cluster_coeff.c # 20";"/home/marco/hmm/globali.c # 305";"2";"2";"0";"/home/marco/hmm/cluster_coeff.c # 20";"/home/marco/hmm/cluster_coeff.c # 38"
"3";"'g_tmpm_i'";"/home/marco/hmm/pathlength.c # 37";"/home/marco/hmm/globali.c # 329";"2";"2";"0";"/home/marco/hmm/pathlength.c # 37";"/home/marco/hmm/pathlength.c # 58"
--------------------------------------

"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"8";"'ris'";"/home/marco/hmm/HMM_und.c # 115";"/home/marco/hmm/HMM_und.c # 875";"5";"5";"0";"/home/marco/hmm/HMM_und.c # 116";"/home/marco/hmm/HMM_und.c # 875"
"1";"'VECTOR_ELT(elem, 1)'";"/home/marco/hmm/HMM_und.c # 856";"/home/marco/hmm/HMM_und.c # 878";"1";"2";"0";"/home/marco/hmm/HMM_und.c # 97";"/home/marco/hmm/HMM_und.c # 97"
"2";"'VECTOR_ELT(elem, 1)'";"/home/marco/hmm/HMM_und.c # 856";"/home/marco/hmm/HMM_und.c # 878";"1";"2";"0";"/home/marco/hmm/HMM_und.c # 97";"/home/marco/hmm/HMM_und.c # 97"
"3";"'VECTOR_ELT(elem, 1)'";"/home/marco/hmm/HMM_und.c # 856";"/home/marco/hmm/HMM_und.c # 878";"1";"2";"0";"/home/marco/hmm/HMM_und.c # 97";"/home/marco/hmm/HMM_und.c # 97"
"4";"'VECTOR_ELT(elem, 1)'";"/home/marco/hmm/HMM_und.c # 856";"/home/marco/hmm/HMM_und.c # 878";"1";"2";"0";"/home/marco/hmm/HMM_und.c # 97";"/home/marco/hmm/HMM_und.c # 326"
"5";"'VECTOR_ELT(elem, 1)'";"/home/marco/hmm/HMM_und.c # 856";"/home/marco/hmm/HMM_und.c # 878";"1";"2";"0";"/home/marco/hmm/HMM_und.c # 97";"/home/marco/hmm/HMM_und.c # 326"
"6";"'VECTOR_ELT(elem, 1)'";"/home/marco/hmm/HMM_und.c # 856";"/home/marco/hmm/HMM_und.c # 878";"1";"2";"0";"/home/marco/hmm/HMM_und.c # 97";"/home/marco/hmm/HMM_und.c # 97"
"7";"'VECTOR_ELT(elem, 1)'";"/home/marco/hmm/HMM_und.c # 856";"/home/marco/hmm/HMM_und.c # 878";"1";"2";"0";"/home/marco/hmm/HMM_und.c # 97";"/home/marco/hmm/HMM_und.c # 326"
"9";"'g_tmpm_i'";"/home/marco/hmm/cluster_coeff.c # 20";"/home/marco/hmm/globali.c # 305";"5";"5";"0";"/home/marco/hmm/cluster_coeff.c # 20";"/home/marco/hmm/cluster_coeff.c # 38"
"15";"'g_M'";"/home/marco/hmm/HMM_und.c # 363";"/home/marco/hmm/globali.c # 538";"2";"2";"0";"/home/marco/hmm/HMM_und.c # 363";"/home/marco/hmm/assign_nodes_und.c # 101"
