"ID";"nome";"da";"a";"dim.";"riallocazioni";"prima linea";"ultima linea"
"1";"'ris'";"/home/marco/hmm/hubs.c # 73";"/home/marco/hmm/create_mod.c # 106";"2";"0";"/home/marco/hmm/create_mod.c # 77";"/home/marco/hmm/create_mod.c # 83"
--------------------------------------

"ID";"nome";"da";"a";"dim.";"riallocazioni";"prima linea";"ultima linea"
"1";"'ris'";"/home/marco/hmm/hubs.c # 73";"/home/marco/hmm/create_mod.c # 106";"2";"0";"/home/marco/hmm/create_mod.c # 77";"/home/marco/hmm/create_mod.c # 83"
--------------------------------------

"ID";"nome";"da";"a";"dim.";"riallocazioni";"prima linea";"ultima linea"
--------------------------------------

"ID";"nome";"da";"a";"dim.";"riallocazioni";"prima linea";"ultima linea"
"1";"'ris'";"/home/marco/hmm/hubs.c # 73";"/home/marco/hmm/create_mod.c # 106";"2";"0";"/home/marco/hmm/create_mod.c # 77";"/home/marco/hmm/create_mod.c # 83"
--------------------------------------

"ID";"nome";"da";"a";"dim.";"riallocazioni";"prima linea";"ultima linea"
--------------------------------------

