"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"49";"'g_I'";"probmod_und.c # 157";"probmod_und.c # 169";"0";"0";" # 0";" # 0"
"51";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"5";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"51";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"5";"0";"r_aux_i.c # 4973";"probmod_und.c # 169"
"51";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"10";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"51";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"10";"0";"r_aux_i.c # 4973";"r_aux_i.c # 4973"
"51";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"5";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"51";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"5";"0";"r_aux_i.c # 4973";"probmod_und.c # 169"
"51";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"10";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"51";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"10";"0";"r_aux_i.c # 4973";"r_aux_i.c # 4973"
"51";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"5";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"51";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"5";"0";"r_aux_i.c # 4973";"probmod_und.c # 169"
"51";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"10";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"24";"'g_h_new'";"HMM_und.c # 165";"HMM_und.c # 687";"0";"0";" # 0";" # 0"
"51";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"10";"0";"r_aux_i.c # 4973";"r_aux_i.c # 4973"
"68";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"3";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"68";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"3";"0";"r_aux_i.c # 4973";"probmod_und.c # 169"
"68";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"6";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"68";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"6";"0";"r_aux_i.c # 4973";"r_aux_i.c # 4973"
"68";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"3";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"68";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"3";"0";"r_aux_i.c # 4973";"probmod_und.c # 169"
"68";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"6";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"68";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"6";"0";"r_aux_i.c # 4973";"r_aux_i.c # 4973"
"68";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"3";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"68";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"3";"0";"r_aux_i.c # 4973";"probmod_und.c # 169"
"68";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"6";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"68";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"6";"0";"r_aux_i.c # 4973";"r_aux_i.c # 4973"
"68";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"2";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"68";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"2";"0";"r_aux_i.c # 4973";"probmod_und.c # 169"
"68";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"4";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
"68";"'ris'";"r_aux_i.c # 3003";"probmod_und.c # 169";"4";"0";"r_aux_i.c # 4973";"r_aux_i.c # 4973"
"68";"'g_I'";"probmod_und.c # 169";"probmod_und.c # 169";"1";"0";"probmod_und.c # 169";"r_aux_i.c # 4973"
