"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"8";"'ris'";"HMM_und.c # 115";"HMM_und.c # 876";"5";"5";"0";"HMM_und.c # 116";"HMM_und.c # 876"
"1";"'VECTOR_ELT(elem, 1)'";"HMM_und.c # 857";"HMM_und.c # 879";"1";"2";"0";"HMM_und.c # 97";"HMM_und.c # 97"
"2";"'VECTOR_ELT(elem, 1)'";"HMM_und.c # 857";"HMM_und.c # 879";"1";"2";"0";"HMM_und.c # 97";"HMM_und.c # 97"
"3";"'VECTOR_ELT(elem, 1)'";"HMM_und.c # 857";"HMM_und.c # 879";"1";"2";"0";"HMM_und.c # 97";"HMM_und.c # 97"
"4";"'VECTOR_ELT(elem, 1)'";"HMM_und.c # 857";"HMM_und.c # 879";"1";"2";"0";"HMM_und.c # 97";"HMM_und.c # 327"
"5";"'VECTOR_ELT(elem, 1)'";"HMM_und.c # 857";"HMM_und.c # 879";"1";"2";"0";"HMM_und.c # 97";"HMM_und.c # 311"
"6";"'VECTOR_ELT(elem, 1)'";"HMM_und.c # 857";"HMM_und.c # 879";"1";"2";"0";"HMM_und.c # 97";"HMM_und.c # 97"
"7";"'VECTOR_ELT(elem, 1)'";"HMM_und.c # 857";"HMM_und.c # 879";"1";"2";"0";"HMM_und.c # 97";"HMM_und.c # 301"
"9";"'g_tmpm_i'";"cluster_coeff.c # 20";"globali.c # 304";"5";"5";"0";"cluster_coeff.c # 20";"cluster_coeff.c # 38"
"16";"'g_Mt'";"check_conn.c # 32";"globali.c # 391";"5";"5";"0";"check_conn.c # 32";"check_conn.c # 33"
"17";"'g_Maus'";"check_conn.c # 33";"globali.c # 392";"5";"5";"0";"check_conn.c # 33";"check_conn.c # 54"
"15";"'g_M'";"HMM_und.c # 371";"globali.c # 537";"2";"2";"0";"HMM_und.c # 371";"assign_nodes_und.c # 101"
"10";"'g_mod1'";"HMM_und.c # 301";"globali.c # 538";"2";"2";"0";"HMM_und.c # 301";"probmod_und.c # 60"
"13";"'g_mod2'";"HMM_und.c # 311";"globali.c # 539";"2";"2";"0";"HMM_und.c # 311";"probmod_und.c # 60"
"14";"'g_mod3'";"HMM_und.c # 327";"globali.c # 540";"2";"2";"0";"HMM_und.c # 327";"HMM_und.c # 378"
"18";"'g_tmpm_i'";"HMM_und.c # 810";"globali.c # 541";"5";"2";"0";"HMM_und.c # 810";"write_table.c # 28"
"11";"'g_checkOUT'";"probmod_und.c # 55";"globali.c # 570";"2";"5";"0";"probmod_und.c # 56";"probmod_und.c # 167"
"12";"'g_memory'";"probmod_und.c # 62";"globali.c # 571";"2";"3";"0";"probmod_und.c # 63";"probmod_und.c # 77"
--------------------------------------

