"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"1";"'prior_p_subnet'";"HMM_und.c # 841";"HMM_und.c # 884";"6";"0";"HMM_und.c # 81";"HMM_und.c # 81"
"17";"'g_scalare_d'";"scoremodular.c # 43";"globali.c # 341";"1";"0";" # 0";" # 0"
"30";"'g_tmp1_d'";"scoremodular.c # 97";"globali.c # 344";"5";"0";"scoremodular.c # 97";"scoremodular.c # 163"
"18";"'g_T1'";"scoremodular.c # 49";"globali.c # 345";"5";"0";"scoremodular.c # 49";"scoremodular.c # 95"
"19";"'g_T2'";"scoremodular.c # 52";"globali.c # 346";"5";"0";"scoremodular.c # 52";"scoremodular.c # 142"
"20";"'g_old1'";"scoremodular.c # 55";"globali.c # 347";"5";"0";"scoremodular.c # 55";"scoremodular.c # 72"
"21";"'g_old2'";"scoremodular.c # 58";"globali.c # 348";"5";"0";"scoremodular.c # 58";"scoremodular.c # 125"
"22";"'g_new1'";"scoremodular.c # 60";"globali.c # 349";"5";"0";"scoremodular.c # 60";"scoremodular.c # 75"
"23";"'g_new2'";"scoremodular.c # 62";"globali.c # 350";"5";"0";"scoremodular.c # 62";"scoremodular.c # 128"
"24";"'g_toll1'";"scoremodular.c # 66";"globali.c # 351";"5";"0";"scoremodular.c # 66";"scoremodular.c # 100"
"25";"'g_toll2'";"scoremodular.c # 70";"globali.c # 352";"5";"0";"scoremodular.c # 70";"scoremodular.c # 147"
"26";"'g_a'";"scoremodular.c # 72";"globali.c # 353";"5";"0";"scoremodular.c # 72";"scoremodular.c # 159"
"27";"'g_b'";"scoremodular.c # 75";"globali.c # 354";"5";"0";"scoremodular.c # 75";"scoremodular.c # 159"
"28";"'g_m'";"scoremodular.c # 93";"globali.c # 356";"5";"0";"scoremodular.c # 93";"scoremodular.c # 142"
"29";"'g_S1'";"scoremodular.c # 95";"globali.c # 357";"5";"0";"scoremodular.c # 95";"scoremodular.c # 173"
"31";"'g_S2'";"scoremodular.c # 142";"globali.c # 358";"5";"0";"scoremodular.c # 142";"scoremodular.c # 173"
"49";"'g_Sc2_out'";"connetti_scalefree.c # 136";"globali.c # 365";"2";"0";"connetti_scalefree.c # 136";"connetti_scalefree.c # 173"
"48";"'g_Sc2_in'";"connetti_scalefree.c # 134";"globali.c # 366";"3";"0";"connetti_scalefree.c # 134";"connetti_scalefree.c # 165"
"41";"'g_toll'";"connetti_scalefree.c # 58";"globali.c # 367";"7";"0";"connetti_scalefree.c # 58";"scoremodular.c # 70"
"47";"'g_Sc1_out'";"connetti_scalefree.c # 132";"globali.c # 368";"3";"0";"connetti_scalefree.c # 132";"connetti_scalefree.c # 140"
"52";"'g_p_out'";"connetti_scalefree.c # 173";"globali.c # 370";"2";"0";"connetti_scalefree.c # 173";"connetti_scalefree.c # 173"
"46";"'g_Sc1_in'";"connetti_scalefree.c # 130";"globali.c # 371";"2";"0";"connetti_scalefree.c # 130";"connetti_scalefree.c # 140"
"44";"'g_Freq_in'";"connetti_scalefree.c # 88";"globali.c # 373";"4";"0";"connetti_scalefree.c # 88";"scoremodular.c # 58"
